year,state,month,number
2010,Ceará,Feb,63
2011,Ceará,Feb,2
2012,Ceará,Feb,41
2013,Ceará,Feb,49
2014,Ceará,Feb,18
2015,Ceará,Feb,25
2016,Ceará,Feb,13
2017,Ceará,Feb,9
1998,Ceará,Mar,0
1999,Ceará,Mar,30
2000,Ceará,Mar,9
2001,Ceará,Mar,0
2002,Ceará,Mar,17
2003,Ceará,Mar,3
2004,Ceará,Mar,1
2005,Ceará,Mar,5
2006,Ceará,Mar,3
2007,Ceará,Mar,2
2008,Ceará,Mar,2
2009,Ceará,Mar,3
2010,Ceará,Mar,40
2011,Ceará,Mar,6
2012,Ceará,Mar,10
2013,Ceará,Mar,17
2014,Ceará,Mar,6
2015,Ceará,Mar,20
2016,Ceará,Mar,4
2017,Ceará,Mar,4
1998,Ceará,Apr,0
1999,Ceará,Apr,6
2000,Ceará,Apr,15
2001,Ceará,Apr,2
2002,Ceará,Apr,5
2003,Ceará,Apr,3
2004,Ceará,Apr,2
2005,Ceará,Apr,4
2006,Ceará,Apr,1
2007,Ceará,Apr,1
2008,Ceará,Apr,0
2009,Ceará,Apr,0
2010,Ceará,Apr,7
2011,Ceará,Apr,1
2012,Ceará,Apr,2
2013,Ceará,Apr,4
2014,Ceará,Apr,4
2015,Ceará,Apr,3
2016,Ceará,Apr,10
2017,Ceará,Apr,6
1998,Ceará,May,0
1999,Ceará,May,5
2000,Ceará,May,7
2001,Ceará,May,81
2002,Ceará,May,10
2003,Ceará,May,0
2004,Ceará,May,3
2005,Ceará,May,1
2006,Ceará,May,0
2007,Ceará,May,0
2008,Ceará,May,0
2009,Ceará,May,0
2010,Ceará,May,2
2011,Ceará,May,0
2012,Ceará,May,19
2013,Ceará,May,4
2014,Ceará,May,4
2015,Ceará,May,17
2016,Ceará,May,8
2017,Ceará,May,9
1998,Ceará,Jun,1
1999,Ceará,Jun,16
2000,Ceará,Jun,16
2001,Ceará,Jun,38
2002,Ceará,Jun,13
2003,Ceará,Jun,2
2004,Ceará,Jun,1
2005,Ceará,Jun,6
2006,Ceará,Jun,0
2007,Ceará,Jun,1
2008,Ceará,Jun,1
2009,Ceará,Jun,0
2010,Ceará,Jun,3
2011,Ceará,Jun,5
2012,Ceará,Jun,28
2013,Ceará,Jun,5
2014,Ceará,Jun,19
2015,Ceará,Jun,22
2016,Ceará,Jun,45
2017,Ceará,Jun,23
1998,Ceará,Jul,76
1999,Ceará,Jul,83
2000,Ceará,Jul,18
2001,Ceará,Jul,146
2002,Ceará,Jul,12
2003,Ceará,Jul,14
2004,Ceará,Jul,16
2005,Ceará,Jul,14
2006,Ceará,Jul,1
2007,Ceará,Jul,11
2008,Ceará,Jul,3
2009,Ceará,Jul,7
2010,Ceará,Jul,44
2011,Ceará,Jul,18
2012,Ceará,Jul,50
2013,Ceará,Jul,4
2014,Ceará,Jul,47
2015,Ceará,Jul,25
2016,Ceará,Jul,124
2017,Ceará,Jul,26
1998,Ceará,Aug,93
1999,Ceará,Aug,131
2000,Ceará,Aug,79
2001,Ceará,Aug,219
2002,Ceará,Aug,111
2003,Ceará,Aug,109
2004,Ceará,Aug,61
2005,Ceará,Aug,51
2006,Ceará,Aug,50
2007,Ceará,Aug,182
2008,Ceará,Aug,32
2009,Ceará,Aug,26
2010,Ceará,Aug,202
2011,Ceará,Aug,53
2012,Ceará,Aug,278
2013,Ceará,Aug,32
2014,Ceará,Aug,155
2015,Ceará,Aug,127
2016,Ceará,Aug,293
2017,Ceará,Aug,121
1998,Ceará,Sep,590
1999,Ceará,Sep,124
2000,Ceará,Sep,127
2001,Ceará,Sep,801
2002,Ceará,Sep,172
2003,Ceará,Sep,384
2004,Ceará,Sep,144
2005,Ceará,Sep,185
2006,Ceará,Sep,237
2007,Ceará,Sep,241
2008,Ceará,Sep,177
2009,Ceará,Sep,101
2010,Ceará,Sep,357
2011,Ceará,Sep,239
2012,Ceará,Sep,609
2013,Ceará,Sep,177
2014,Ceará,Sep,155
2015,Ceará,Sep,214
2016,Ceará,Sep,370
2017,Ceará,Sep,505
1998,Ceará,Oct,1014
1999,Ceará,Oct,309
2000,Ceará,Oct,875
2001,Ceará,Oct,2045
2002,Ceará,Oct,1606
2003,Ceará,Oct,1761
2004,Ceará,Oct,1217
2005,Ceará,Oct,1378
2006,Ceará,Oct,581
2007,Ceará,Oct,964
2008,Ceará,Oct,816
2009,Ceará,Oct,435
2010,Ceará,Oct,502
2011,Ceará,Oct,415
2012,Ceará,Oct,1104
2013,Ceará,Oct,466
2014,Ceará,Oct,517
2015,Ceará,Oct,658
2016,Ceará,Oct,1310
2017,Ceará,Oct,949
1998,Ceará,Nov,575
1999,Ceará,Nov,524
2000,Ceará,Nov,669
2001,Ceará,Nov,2456
2002,Ceará,Nov,2715
2003,Ceará,Nov,3327
2004,Ceará,Nov,2900
2005,Ceará,Nov,2483
2006,Ceará,Nov,1012
2007,Ceará,Nov,1443
2008,Ceará,Nov,1753
2009,Ceará,Nov,1653
2010,Ceará,Nov,1652
2011,Ceará,Nov,1561
2012,Ceará,Nov,995
2013,Ceará,Nov,1081
2014,Ceará,Nov,829
2015,Ceará,Nov,1081
2016,Ceará,Nov,1328
2017,Ceará,Nov,812
1998,Ceará,Dec,276
1999,Ceará,Dec,397
2000,Ceará,Dec,389
2001,Ceará,Dec,545
2002,Ceará,Dec,1787
2003,Ceará,Dec,2436
2004,Ceará,Dec,3158
2005,Ceará,Dec,1360
2006,Ceará,Dec,1161
2007,Ceará,Dec,1177
2008,Ceará,Dec,1655
2009,Ceará,Dec,1987
2010,Ceará,Dec,578
2011,Ceará,Dec,1441
2012,Ceará,Dec,631
2013,Ceará,Dec,956
2014,Ceará,Dec,643
2015,Ceará,Dec,1021
2016,Ceará,Dec,819
1998,Distrito Federal,Jan,0
1999,Distrito Federal,Jan,0
2000,Distrito Federal,Jan,0
2001,Distrito Federal,Jan,0
2002,Distrito Federal,Jan,0
2003,Distrito Federal,Jan,0
2004,Distrito Federal,Jan,0
2005,Distrito Federal,Jan,0
2006,Distrito Federal,Jan,0
2007,Distrito Federal,Jan,0
2008,Distrito Federal,Jan,0
2009,Distrito Federal,Jan,1
2010,Distrito Federal,Jan,2
2011,Distrito Federal,Jan,2
2012,Distrito Federal,Jan,0
2013,Distrito Federal,Jan,0
2014,Distrito Federal,Jan,0
2015,Distrito Federal,Jan,1
2016,Distrito Federal,Jan,1
2017,Distrito Federal,Jan,1
1998,Distrito Federal,Feb,0
1999,Distrito Federal,Feb,2
2000,Distrito Federal,Feb,0
2001,Distrito Federal,Feb,1
2002,Distrito Federal,Feb,0
2003,Distrito Federal,Feb,1
2004,Distrito Federal,Feb,0
2005,Distrito Federal,Feb,0
2006,Distrito Federal,Feb,0
2007,Distrito Federal,Feb,0
2008,Distrito Federal,Feb,0
2009,Distrito Federal,Feb,0
2010,Distrito Federal,Feb,4
2011,Distrito Federal,Feb,1
2012,Distrito Federal,Feb,0
2013,Distrito Federal,Feb,1
2014,Distrito Federal,Feb,1
2015,Distrito Federal,Feb,0
2016,Distrito Federal,Feb,2
2017,Distrito Federal,Feb,0
1998,Distrito Federal,Mar,0
1999,Distrito Federal,Mar,0
2000,Distrito Federal,Mar,0
2001,Distrito Federal,Mar,0
2002,Distrito Federal,Mar,0
2003,Distrito Federal,Mar,0
2004,Distrito Federal,Mar,0
2005,Distrito Federal,Mar,0
2006,Distrito Federal,Mar,0
2007,Distrito Federal,Mar,1
2008,Distrito Federal,Mar,2
2009,Distrito Federal,Mar,0
2010,Distrito Federal,Mar,0
2011,Distrito Federal,Mar,0
2012,Distrito Federal,Mar,0
2013,Distrito Federal,Mar,1
2014,Distrito Federal,Mar,1
2015,Distrito Federal,Mar,0
2016,Distrito Federal,Mar,1
2017,Distrito Federal,Mar,0
1998,Distrito Federal,Apr,0
1999,Distrito Federal,Apr,0
2000,Distrito Federal,Apr,0
2001,Distrito Federal,Apr,0
2002,Distrito Federal,Apr,1
2003,Distrito Federal,Apr,0
2004,Distrito Federal,Apr,1
2005,Distrito Federal,Apr,0
2006,Distrito Federal,Apr,0
2007,Distrito Federal,Apr,0
2008,Distrito Federal,Apr,1
2009,Distrito Federal,Apr,0
2010,Distrito Federal,Apr,8
2011,Distrito Federal,Apr,1
2012,Distrito Federal,Apr,4
2013,Distrito Federal,Apr,1
2014,Distrito Federal,Apr,2
2015,Distrito Federal,Apr,0
2016,Distrito Federal,Apr,5
2017,Distrito Federal,Apr,1
1998,Distrito Federal,May,0
1999,Distrito Federal,May,0
2000,Distrito Federal,May,2
2001,Distrito Federal,May,0
2002,Distrito Federal,May,1
2003,Distrito Federal,May,0
2004,Distrito Federal,May,9
2005,Distrito Federal,May,2
2006,Distrito Federal,May,3
2007,Distrito Federal,May,4
2008,Distrito Federal,May,6
2009,Distrito Federal,May,9
2010,Distrito Federal,May,23
2011,Distrito Federal,May,3
2012,Distrito Federal,May,0
2013,Distrito Federal,May,2
2014,Distrito Federal,May,9
2015,Distrito Federal,May,2
2016,Distrito Federal,May,15
2017,Distrito Federal,May,6
1998,Distrito Federal,Jun,2
1999,Distrito Federal,Jun,3
2000,Distrito Federal,Jun,1
2001,Distrito Federal,Jun,3
2002,Distrito Federal,Jun,7
2003,Distrito Federal,Jun,11
2004,Distrito Federal,Jun,6
2005,Distrito Federal,Jun,3
2006,Distrito Federal,Jun,2
2007,Distrito Federal,Jun,21
2008,Distrito Federal,Jun,0
2009,Distrito Federal,Jun,4
2010,Distrito Federal,Jun,21
2011,Distrito Federal,Jun,18
2012,Distrito Federal,Jun,6
2013,Distrito Federal,Jun,4
2014,Distrito Federal,Jun,6
2015,Distrito Federal,Jun,1
2016,Distrito Federal,Jun,42
2017,Distrito Federal,Jun,23
1998,Distrito Federal,Jul,17
1999,Distrito Federal,Jul,4
2000,Distrito Federal,Jul,15
2001,Distrito Federal,Jul,22
2002,Distrito Federal,Jul,33
2003,Distrito Federal,Jul,19
2004,Distrito Federal,Jul,37
2005,Distrito Federal,Jul,24
2006,Distrito Federal,Jul,10
2007,Distrito Federal,Jul,25
2008,Distrito Federal,Jul,12
2009,Distrito Federal,Jul,33
2010,Distrito Federal,Jul,85
2011,Distrito Federal,Jul,53
2012,Distrito Federal,Jul,29
2013,Distrito Federal,Jul,22
2014,Distrito Federal,Jul,27
2015,Distrito Federal,Jul,15
2016,Distrito Federal,Jul,79
2017,Distrito Federal,Jul,44
1998,Distrito Federal,Aug,48
1999,Distrito Federal,Aug,16
2000,Distrito Federal,Aug,9
2001,Distrito Federal,Aug,25
2002,Distrito Federal,Aug,53
2003,Distrito Federal,Aug,36
2004,Distrito Federal,Aug,108
2005,Distrito Federal,Aug,20
2006,Distrito Federal,Aug,40
2007,Distrito Federal,Aug,137
2008,Distrito Federal,Aug,30
2009,Distrito Federal,Aug,37
2010,Distrito Federal,Aug,159
2011,Distrito Federal,Aug,61
2012,Distrito Federal,Aug,55
2013,Distrito Federal,Aug,34
2014,Distrito Federal,Aug,99
2015,Distrito Federal,Aug,53
2016,Distrito Federal,Aug,29
2017,Distrito Federal,Aug,147
1998,Distrito Federal,Sep,33
1999,Distrito Federal,Sep,12
2000,Distrito Federal,Sep,3
2001,Distrito Federal,Sep,12
2002,Distrito Federal,Sep,33
2003,Distrito Federal,Sep,17
2004,Distrito Federal,Sep,100
2005,Distrito Federal,Sep,23
2006,Distrito Federal,Sep,20
2007,Distrito Federal,Sep,73
2008,Distrito Federal,Sep,54
2009,Distrito Federal,Sep,5
2010,Distrito Federal,Sep,196
2011,Distrito Federal,Sep,133
2012,Distrito Federal,Sep,64
2013,Distrito Federal,Sep,31
2014,Distrito Federal,Sep,72
2015,Distrito Federal,Sep,76
2016,Distrito Federal,Sep,58
2017,Distrito Federal,Sep,122
1998,Distrito Federal,Oct,3
1999,Distrito Federal,Oct,8
2000,Distrito Federal,Oct,18
2001,Distrito Federal,Oct,0
2002,Distrito Federal,Oct,19
2003,Distrito Federal,Oct,12
2004,Distrito Federal,Oct,18
2005,Distrito Federal,Oct,18
2006,Distrito Federal,Oct,1
2007,Distrito Federal,Oct,13
2008,Distrito Federal,Oct,6
2009,Distrito Federal,Oct,3
2010,Distrito Federal,Oct,6
2011,Distrito Federal,Oct,0
2012,Distrito Federal,Oct,15
2013,Distrito Federal,Oct,3
2014,Distrito Federal,Oct,34
2015,Distrito Federal,Oct,21
2016,Distrito Federal,Oct,9
2017,Distrito Federal,Oct,66
1998,Distrito Federal,Nov,0
1999,Distrito Federal,Nov,1
2000,Distrito Federal,Nov,0
2001,Distrito Federal,Nov,0
2002,Distrito Federal,Nov,1
2003,Distrito Federal,Nov,0
2004,Distrito Federal,Nov,0
2005,Distrito Federal,Nov,2
2006,Distrito Federal,Nov,0
2007,Distrito Federal,Nov,0
2008,Distrito Federal,Nov,4
2009,Distrito Federal,Nov,0
2010,Distrito Federal,Nov,0
2011,Distrito Federal,Nov,1
2012,Distrito Federal,Nov,0
2013,Distrito Federal,Nov,0
2014,Distrito Federal,Nov,0
2015,Distrito Federal,Nov,3
2016,Distrito Federal,Nov,1
2017,Distrito Federal,Nov,0
1998,Distrito Federal,Dec,0
1999,Distrito Federal,Dec,0
2000,Distrito Federal,Dec,0
2001,Distrito Federal,Dec,1
2002,Distrito Federal,Dec,1
2003,Distrito Federal,Dec,0
2004,Distrito Federal,Dec,0
2005,Distrito Federal,Dec,0
2006,Distrito Federal,Dec,0
2007,Distrito Federal,Dec,0
2008,Distrito Federal,Dec,0
2009,Distrito Federal,Dec,0
2010,Distrito Federal,Dec,1
2011,Distrito Federal,Dec,0
2012,Distrito Federal,Dec,0
2013,Distrito Federal,Dec,2
2014,Distrito Federal,Dec,0
2015,Distrito Federal,Dec,0
2016,Distrito Federal,Dec,0
1998,Espírito Santo,Jan,0
1999,Espírito Santo,Jan,33
2000,Espírito Santo,Jan,5
2001,Espírito Santo,Jan,1
2002,Espírito Santo,Jan,2
2003,Espírito Santo,Jan,4
2004,Espírito Santo,Jan,1
2005,Espírito Santo,Jan,4
2006,Espírito Santo,Jan,13
2007,Espírito Santo,Jan,0
2008,Espírito Santo,Jan,12
2009,Espírito Santo,Jan,4
2010,Espírito Santo,Jan,52
2011,Espírito Santo,Jan,3
2012,Espírito Santo,Jan,1
2013,Espírito Santo,Jan,10
2014,Espírito Santo,Jan,11
2015,Espírito Santo,Jan,76
2016,Espírito Santo,Jan,43
2017,Espírito Santo,Jan,13
1998,Espírito Santo,Feb,0
1999,Espírito Santo,Feb,10
2000,Espírito Santo,Feb,5
2001,Espírito Santo,Feb,5
2002,Espírito Santo,Feb,4
2003,Espírito Santo,Feb,11
2004,Espírito Santo,Feb,5
2005,Espírito Santo,Feb,1
2006,Espírito Santo,Feb,45
2007,Espírito Santo,Feb,3
2008,Espírito Santo,Feb,20
2009,Espírito Santo,Feb,12
2010,Espírito Santo,Feb,15
2011,Espírito Santo,Feb,42
2012,Espírito Santo,Feb,25
2013,Espírito Santo,Feb,15
2014,Espírito Santo,Feb,17
2015,Espírito Santo,Feb,60
2016,Espírito Santo,Feb,24
2017,Espírito Santo,Feb,8
1998,Espírito Santo,Mar,0
1999,Espírito Santo,Mar,8
2000,Espírito Santo,Mar,1
2001,Espírito Santo,Mar,2
2002,Espírito Santo,Mar,4
2003,Espírito Santo,Mar,28
2004,Espírito Santo,Mar,3
2005,Espírito Santo,Mar,3
2006,Espírito Santo,Mar,14
2007,Espírito Santo,Mar,9
2008,Espírito Santo,Mar,5
2009,Espírito Santo,Mar,11
2010,Espírito Santo,Mar,3
2011,Espírito Santo,Mar,5
2012,Espírito Santo,Mar,35
2013,Espírito Santo,Mar,13
2014,Espírito Santo,Mar,15
2015,Espírito Santo,Mar,25
2016,Espírito Santo,Mar,107
2017,Espírito Santo,Mar,9
1998,Espírito Santo,Apr,0
1999,Espírito Santo,Apr,2
2000,Espírito Santo,Apr,3
2001,Espírito Santo,Apr,2
2002,Espírito Santo,Apr,2
2003,Espírito Santo,Apr,22
2004,Espírito Santo,Apr,0
2005,Espírito Santo,Apr,4
2006,Espírito Santo,Apr,1
2007,Espírito Santo,Apr,2
2008,Espírito Santo,Apr,8
2009,Espírito Santo,Apr,8
2010,Espírito Santo,Apr,7
2011,Espírito Santo,Apr,3
2012,Espírito Santo,Apr,74
2013,Espírito Santo,Apr,16
2014,Espírito Santo,Apr,15
2015,Espírito Santo,Apr,33
2016,Espírito Santo,Apr,57
2017,Espírito Santo,Apr,7
1998,Espírito Santo,May,0
1999,Espírito Santo,May,16
2000,Espírito Santo,May,2
2001,Espírito Santo,May,8
2002,Espírito Santo,May,5
2003,Espírito Santo,May,1
2004,Espírito Santo,May,0
2005,Espírito Santo,May,5
2006,Espírito Santo,May,0
2007,Espírito Santo,May,1
2008,Espírito Santo,May,2
2009,Espírito Santo,May,7
2010,Espírito Santo,May,3
2011,Espírito Santo,May,2
2012,Espírito Santo,May,20
2013,Espírito Santo,May,14
2014,Espírito Santo,May,18
2015,Espírito Santo,May,17
2016,Espírito Santo,May,48
2017,Espírito Santo,May,10
1998,Espírito Santo,Jun,6
1999,Espírito Santo,Jun,6
2000,Espírito Santo,Jun,9
2001,Espírito Santo,Jun,9
2002,Espírito Santo,Jun,18
2003,Espírito Santo,Jun,19
2004,Espírito Santo,Jun,3
2005,Espírito Santo,Jun,8
2006,Espírito Santo,Jun,5
2007,Espírito Santo,Jun,4
2008,Espírito Santo,Jun,4
2009,Espírito Santo,Jun,12
2010,Espírito Santo,Jun,3
2011,Espírito Santo,Jun,7
2012,Espírito Santo,Jun,15
2013,Espírito Santo,Jun,22
2014,Espírito Santo,Jun,9
2015,Espírito Santo,Jun,18
2016,Espírito Santo,Jun,49
2017,Espírito Santo,Jun,37
1998,Espírito Santo,Jul,37
1999,Espírito Santo,Jul,9
2000,Espírito Santo,Jul,16
2001,Espírito Santo,Jul,12
2002,Espírito Santo,Jul,9
2003,Espírito Santo,Jul,27
2004,Espírito Santo,Jul,4
2005,Espírito Santo,Jul,9
2006,Espírito Santo,Jul,11
2007,Espírito Santo,Jul,13
2008,Espírito Santo,Jul,5
2009,Espírito Santo,Jul,25
2010,Espírito Santo,Jul,5
2011,Espírito Santo,Jul,18
2012,Espírito Santo,Jul,35
2013,Espírito Santo,Jul,20
2014,Espírito Santo,Jul,17
2015,Espírito Santo,Jul,30
2016,Espírito Santo,Jul,42
2017,Espírito Santo,Jul,3
1998,Espírito Santo,Aug,38
1999,Espírito Santo,Aug,60
2000,Espírito Santo,Aug,26
2001,Espírito Santo,Aug,30
2002,Espírito Santo,Aug,60
2003,Espírito Santo,Aug,118
2004,Espírito Santo,Aug,12
2005,Espírito Santo,Aug,12
2006,Espírito Santo,Aug,29
2007,Espírito Santo,Aug,82
2008,Espírito Santo,Aug,13
2009,Espírito Santo,Aug,17
2010,Espírito Santo,Aug,39
2011,Espírito Santo,Aug,93
2012,Espírito Santo,Aug,12
2013,Espírito Santo,Aug,53
2014,Espírito Santo,Aug,47
2015,Espírito Santo,Aug,35
2016,Espírito Santo,Aug,78
2017,Espírito Santo,Aug,30
1998,Espírito Santo,Sep,108
1999,Espírito Santo,Sep,64
2000,Espírito Santo,Sep,14
2001,Espírito Santo,Sep,38
2002,Espírito Santo,Sep,46
2003,Espírito Santo,Sep,252
2004,Espírito Santo,Sep,47
2005,Espírito Santo,Sep,8
2006,Espírito Santo,Sep,87
2007,Espírito Santo,Sep,63
2008,Espírito Santo,Sep,78
2009,Espírito Santo,Sep,57
2010,Espírito Santo,Sep,53
2011,Espírito Santo,Sep,108
2012,Espírito Santo,Sep,48
2013,Espírito Santo,Sep,30
2014,Espírito Santo,Sep,61
2015,Espírito Santo,Sep,228
2016,Espírito Santo,Sep,128
2017,Espírito Santo,Sep,58
1998,Espírito Santo,Oct,20
1999,Espírito Santo,Oct,23
2000,Espírito Santo,Oct,88
2001,Espírito Santo,Oct,19
2002,Espírito Santo,Oct,113
2003,Espírito Santo,Oct,159
2004,Espírito Santo,Oct,48
2005,Espírito Santo,Oct,62
2006,Espírito Santo,Oct,10
2007,Espírito Santo,Oct,79
2008,Espírito Santo,Oct,100
2009,Espírito Santo,Oct,13
2010,Espírito Santo,Oct,32
2011,Espírito Santo,Oct,38
2012,Espírito Santo,Oct,62
2013,Espírito Santo,Oct,37
2014,Espírito Santo,Oct,89
2015,Espírito Santo,Oct,307
2016,Espírito Santo,Oct,58
2017,Espírito Santo,Oct,56
1998,Espírito Santo,Nov,4
1999,Espírito Santo,Nov,9
2000,Espírito Santo,Nov,3
2001,Espírito Santo,Nov,3
2002,Espírito Santo,Nov,22
2003,Espírito Santo,Nov,49
2004,Espírito Santo,Nov,42
2005,Espírito Santo,Nov,0
2006,Espírito Santo,Nov,0
2007,Espírito Santo,Nov,112
2008,Espírito Santo,Nov,3
2009,Espírito Santo,Nov,18
2010,Espírito Santo,Nov,3
2011,Espírito Santo,Nov,6
2012,Espírito Santo,Nov,7
2013,Espírito Santo,Nov,11
2014,Espírito Santo,Nov,20
2015,Espírito Santo,Nov,141
2016,Espírito Santo,Nov,8
2017,Espírito Santo,Nov,3
1998,Espírito Santo,Dec,5
1999,Espírito Santo,Dec,0
2000,Espírito Santo,Dec,3
2001,Espírito Santo,Dec,1
2002,Espírito Santo,Dec,12
2003,Espírito Santo,Dec,18
2004,Espírito Santo,Dec,9
2005,Espírito Santo,Dec,5
2006,Espírito Santo,Dec,0
2007,Espírito Santo,Dec,14
2008,Espírito Santo,Dec,1
2009,Espírito Santo,Dec,32
2010,Espírito Santo,Dec,10
2011,Espírito Santo,Dec,1
2012,Espírito Santo,Dec,18
2013,Espírito Santo,Dec,9
2014,Espírito Santo,Dec,28
2015,Espírito Santo,Dec,61
2016,Espírito Santo,Dec,12
1998,Goiás,Jan,0
1999,Goiás,Jan,14
2000,Goiás,Jan,10
2001,Goiás,Jan,29
2002,Goiás,Jan,12
2003,Goiás,Jan,14
2004,Goiás,Jan,10
2005,Goiás,Jan,27
2006,Goiás,Jan,85
2007,Goiás,Jan,28
2008,Goiás,Jan,23
2009,Goiás,Jan,30
2010,Goiás,Jan,59
2011,Goiás,Jan,39
2012,Goiás,Jan,21
2013,Goiás,Jan,33
2014,Goiás,Jan,80
2015,Goiás,Jan,118
2016,Goiás,Jan,52
2017,Goiás,Jan,53
1998,Goiás,Feb,0
1999,Goiás,Feb,334
2000,Goiás,Feb,11
2001,Goiás,Feb,9
2002,Goiás,Feb,9
2003,Goiás,Feb,47
2004,Goiás,Feb,11
2005,Goiás,Feb,84
2006,Goiás,Feb,21
2007,Goiás,Feb,13
2008,Goiás,Feb,25
2009,Goiás,Feb,29
2010,Goiás,Feb,86
2011,Goiás,Feb,45
2012,Goiás,Feb,37
2013,Goiás,Feb,86
2014,Goiás,Feb,44
2015,Goiás,Feb,53
2016,Goiás,Feb,117
2017,Goiás,Feb,75
1998,Goiás,Mar,0
1999,Goiás,Mar,1
2000,Goiás,Mar,4
2001,Goiás,Mar,10
2002,Goiás,Mar,48
2003,Goiás,Mar,29
2004,Goiás,Mar,36
2005,Goiás,Mar,36
2006,Goiás,Mar,29
2007,Goiás,Mar,49
2008,Goiás,Mar,20
2009,Goiás,Mar,32
2010,Goiás,Mar,65
2011,Goiás,Mar,19
2012,Goiás,Mar,57
2013,Goiás,Mar,79
2014,Goiás,Mar,80
2015,Goiás,Mar,76
2016,Goiás,Mar,136
2017,Goiás,Mar,115
1998,Goiás,Apr,0
1999,Goiás,Apr,25
2000,Goiás,Apr,16
2001,Goiás,Apr,49
2002,Goiás,Apr,78
2003,Goiás,Apr,87
2004,Goiás,Apr,32
2005,Goiás,Apr,55
2006,Goiás,Apr,22
2007,Goiás,Apr,17
2008,Goiás,Apr,36
2009,Goiás,Apr,11
2010,Goiás,Apr,105
2011,Goiás,Apr,71
2012,Goiás,Apr,89
2013,Goiás,Apr,42
2014,Goiás,Apr,138
2015,Goiás,Apr,89
2016,Goiás,Apr,167
2017,Goiás,Apr,60
1998,Goiás,May,0
1999,Goiás,May,99
2000,Goiás,May,58
2001,Goiás,May,85
2002,Goiás,May,171
2003,Goiás,May,57
2004,Goiás,May,157
2005,Goiás,May,164
2006,Goiás,May,33
2007,Goiás,May,94
2008,Goiás,May,41
2009,Goiás,May,104
2010,Goiás,May,239
2011,Goiás,May,136
2012,Goiás,May,103
2013,Goiás,May,150
2014,Goiás,May,210
2015,Goiás,May,129
2016,Goiás,May,233
2017,Goiás,May,135
1998,Goiás,Jun,172
1999,Goiás,Jun,250
2000,Goiás,Jun,222
2001,Goiás,Jun,212
2002,Goiás,Jun,302
2003,Goiás,Jun,321
2004,Goiás,Jun,422
2005,Goiás,Jun,189
2006,Goiás,Jun,70
2007,Goiás,Jun,186
2008,Goiás,Jun,55
2009,Goiás,Jun,179
2010,Goiás,Jun,278
2011,Goiás,Jun,314
2012,Goiás,Jun,245
2013,Goiás,Jun,192
2014,Goiás,Jun,318
2015,Goiás,Jun,277
2016,Goiás,Jun,289
2017,Goiás,Jun,442
1998,Goiás,Jul,512
1999,Goiás,Jul,311
2000,Goiás,Jul,332
2001,Goiás,Jul,371
2002,Goiás,Jul,686
2003,Goiás,Jul,322
2004,Goiás,Jul,778
2005,Goiás,Jul,363
2006,Goiás,Jul,169
2007,Goiás,Jul,399
2008,Goiás,Jul,193
2009,Goiás,Jul,470
2010,Goiás,Jul,941
2011,Goiás,Jul,607
2012,Goiás,Jul,564
2013,Goiás,Jul,350
2014,Goiás,Jul,446
2015,Goiás,Jul,347
2016,Goiás,Jul,837
2017,Goiás,Jul,577
1998,Goiás,Aug,2218
1999,Goiás,Aug,1198
2000,Goiás,Aug,925
2001,Goiás,Aug,787
2002,Goiás,Aug,1428
2003,Goiás,Aug,902
2004,Goiás,Aug,1498
2005,Goiás,Aug,639
2006,Goiás,Aug,588
2007,Goiás,Aug,2382
2008,Goiás,Aug,568
2009,Goiás,Aug,647
2010,Goiás,Aug,2914
2011,Goiás,Aug,1613
2012,Goiás,Aug,912
2013,Goiás,Aug,488
2014,Goiás,Aug,1255
2015,Goiás,Aug,943
2016,Goiás,Aug,1032
2017,Goiás,Aug,1492
1998,Goiás,Sep,2867
1999,Goiás,Sep,1898
2000,Goiás,Sep,1293
2001,Goiás,Sep,1863
2002,Goiás,Sep,3520
2003,Goiás,Sep,1662
2004,Goiás,Sep,2965
2005,Goiás,Sep,1341
2006,Goiás,Sep,1463
2007,Goiás,Sep,3745
2008,Goiás,Sep,1255
2009,Goiás,Sep,685
2010,Goiás,Sep,5075
2011,Goiás,Sep,2259
2012,Goiás,Sep,2452
2013,Goiás,Sep,684
2014,Goiás,Sep,1687
2015,Goiás,Sep,2296
2016,Goiás,Sep,1703
2017,Goiás,Sep,3238
1998,Goiás,Oct,1034
1999,Goiás,Oct,743
2000,Goiás,Oct,905
2001,Goiás,Oct,479
2002,Goiás,Oct,1367
2003,Goiás,Oct,1183
2004,Goiás,Oct,1275
2005,Goiás,Oct,1717
2006,Goiás,Oct,178
2007,Goiás,Oct,1195
2008,Goiás,Oct,1231
2009,Goiás,Oct,367
2010,Goiás,Oct,1227
2011,Goiás,Oct,476
2012,Goiás,Oct,1524
2013,Goiás,Oct,606
2014,Goiás,Oct,1947
2015,Goiás,Oct,1807
2016,Goiás,Oct,522
2017,Goiás,Oct,2401
1998,Goiás,Nov,47
1999,Goiás,Nov,110
2000,Goiás,Nov,26
2001,Goiás,Nov,15
2002,Goiás,Nov,192
2003,Goiás,Nov,168
2004,Goiás,Nov,291
2005,Goiás,Nov,144
2006,Goiás,Nov,91
2007,Goiás,Nov,79
2008,Goiás,Nov,90
2009,Goiás,Nov,89
2010,Goiás,Nov,67
2011,Goiás,Nov,59
2012,Goiás,Nov,57
2013,Goiás,Nov,183
2014,Goiás,Nov,181
2015,Goiás,Nov,547
